Field ID,Latitude,Longitude,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_214,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_228,VALUE_229,VALUE_236,VALUE_237,VALUE_243,VALUE_244,VALUE_249
STA_PAN,42.580500000000001,-78.078917000000004,"1130","25","6","0","0","0","0","0","0","0","0","0","0","752","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","32","146","11","1","1","0","807","54","176","0","277","29","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
STA_SWE,42.798278000000003,-78.099610999999996,"862","0","69","0","0","0","4","0","52","3","0","0","0","235","13","1","0","135","0","0","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","8","205","25","4","0","3","808","0","25","0","857","116","9","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","21","0"
STA_THO,43.137600999999997,-77.316856999999999,"1010","1","156","0","0","0","0","0","11","4","0","0","0","59","4","2","0","6","3","0","1","0","0","0","1","0","0","34","0","0","0","1","0","0","0","0","0","344","45","15","2","6","605","1","17","0","937","201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
STA_WAT,42.909416999999998,-77.788306000000006,"1111","5","426","0","0","0","0","0","55","12","0","0","0","105","0","0","311","69","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","68","85","8","8","0","0","710","0","10","0","226","180","56","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","0","11","0","0"
WIS_COO,41.879387999999999,-73.614722000000000,"418","0","215","9","0","0","0","0","113","0","0","0","0","100","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","39","85","33","10","1","1","841","6","44","0","1505","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
WIS_COO_2,41.871068999999999,-73.627960000000002,"265","0","108","0","0","0","0","0","257","0","1","0","0","139","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","31","89","74","13","3","2","743","53","106","0","1559","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
WIS_KEN,41.665540000000000,-73.956270000000004,"2","0","5","0","3","0","0","0","10","26","4","0","0","23","11","0","0","0","0","2","0","0","0","0","5","0","0","16","2","51","152","8","1","19","80","0","943","286","344","251","117","73","582","75","87","27","91","74","83","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","0","0","0","0"
ZUE_REE,42.783493999999997,-76.983186000000003,"78","0","614","0","12","0","141","0","311","28","32","0","0","13","1","6","0","11","1","2","6","0","0","0","0","99","0","0","0","0","0","7","7","0","0","0","519","101","100","25","0","1","479","1","11","0","702","82","14","8","1","1","0","0","1","0","0","25","0","0","13","0","16","0","0","2","0","1"
SMI_CAN_2,42.875556000000003,-75.055333000000005,"661","0","15","0","1","0","0","0","0","0","6","0","0","75","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","57","41","11","14","973","16","63","0","1361","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_COB_3,42.661472000000003,-74.515332999999998,"233","0","0","0","0","0","2","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","252","252","139","14","3","842","28","69","0","1449","158","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_DOU_3,43.054499999999997,-74.844361000000006,"71","0","128","0","0","0","0","0","0","0","0","0","0","1","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","312","98","38","6","0","696","62","49","0","1954","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_JOH,43.003194000000001,-75.590500000000006,"820","1","2","0","7","0","0","1","0","0","1","0","0","43","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145","36","22","3","4","976","201","159","0","957","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_KEL,42.960056000000002,-74.659555999999995,"609","26","78","0","6","0","0","0","0","0","0","0","0","48","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","100","60","7","0","5","530","90","319","0","1574","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
SMI_LAT,42.692000000000000,-75.528250000000000,"568","0","106","0","1","0","0","0","0","0","0","0","0","224","4","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","268","38","16","3","5","935","44","49","0","1017","148","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
SMI_LAT_2,42.692444000000002,-75.524500000000003,"403","0","107","0","1","0","0","0","0","0","0","0","0","195","4","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","242","50","14","2","7","896","55","49","0","1197","208","4","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
SMI_MCC,43.118971999999999,-74.846943999999993,"31","0","121","0","3","0","0","0","0","0","125","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142","47","4","0","0","709","30","10","0","2140","71","2","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0"
