Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Other Small Grains,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Other Tree Crops,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Peppers,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
SMI_HOL,9878,0,1349,0,0,3,0,9,0,0,1,1,0,0,4094,10734,0,0,0,0,0,0,2,0,0,0,0,9,0,13,0,0,7,0,0,0,0,1259,2251,918,300,59,96,8436,1970,7289,43,6017,3293,122,0,0,0,0,0,0,0,0,21,0,0,0,58174,15374,21249,6017,3624,1259,0.264276137,0.36526627,0.103431086,0.062295871,0.021641971,0.169800942,0.023189054,3000
DIP_PAT,18718,2,4703,1,28,0,8,2701,0,0,4,101,0,0,11178,3379,0,0,19,3,0,0,2,0,6,0,0,22,0,32,0,0,21,16,4,0,0,63,1218,1455,400,115,183,7141,67,156,56,4566,1709,78,9,0,0,0,0,0,0,1,4,2,4,0,58175,37557,9390,4566,3371,63,0.645586592,0.16140954,0.078487323,0.057945853,0.001082939,0.32175333,0.080842286,3000
MIL_YOD,7604,11,3204,13,0,21,0,648,0,0,5,163,0,0,11441,3370,11,0,98,0,0,0,2,0,0,0,0,73,0,21,0,0,0,0,0,0,0,12,2562,553,214,32,15,14567,391,456,82,11426,1064,52,91,0,0,0,0,0,0,150,0,0,0,0,58352,23535,16627,11426,3376,12,0.403328078,0.284943104,0.195811626,0.057855772,0.000205648,0.130312586,0.054908144,3000
MIL_CHA,14168,1,3849,0,6,0,0,585,0,0,8,54,3,0,7510,1456,0,0,17,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,0,0,65,2570,560,211,29,21,16753,1104,1256,36,7538,573,4,25,3,0,0,0,0,0,0,0,0,0,0,58415,26232,19747,7538,3391,65,0.449062741,0.338046735,0.129042198,0.058050158,0.001112728,0.242540443,0.06589061,3000
MIL_MCC,10194,0,2240,0,0,4,0,460,0,0,9,7,0,0,4516,1786,2,0,613,0,0,0,0,0,0,0,0,1,0,13,0,0,1,0,4,0,0,120,2910,1709,997,327,24,17719,1350,1923,112,8296,2765,108,0,0,0,0,0,0,0,0,0,1,0,0,58211,18052,24001,8296,5967,120,0.310113209,0.412310388,0.142516019,0.102506399,0.002061466,0.175121541,0.0384807,3000
KAT_SAU,4184,4,81,0,3,2,0,274,0,0,85,22,0,0,683,7985,0,0,156,2,0,0,0,0,8,0,0,52,1,11,0,0,0,4,2,0,0,8,3340,622,226,34,5,20813,3062,5694,47,9069,108,10,1,0,0,0,0,0,0,25,0,0,0,0,56623,5589,29739,9069,4227,8,0.098705473,0.525210603,0.160164597,0.074651643,0.000141285,0.073892235,0.001430514,3000
KAT_SAU_2,4850,6,223,0,3,4,0,373,0,0,66,151,0,0,691,10015,0,0,162,2,0,0,0,0,8,0,0,137,1,12,0,0,0,4,0,0,0,5,3017,283,122,15,5,19548,2506,4418,49,9884,47,14,1,0,0,0,0,0,0,6,0,0,0,0,56628,6688,26587,9884,3442,5,0.118104118,0.46950272,0.174542629,0.060782652,8.83E-05,0.085646677,0.003937981,3000
KAT_TEE,4194,0,134,0,3,0,0,114,0,0,0,39,0,0,1428,3638,0,0,30,2,0,0,0,0,10,0,0,10,0,25,0,0,8,2,2,0,0,69,2103,325,173,9,9,26217,2755,8978,25,6132,625,61,0,0,0,0,0,0,0,0,0,5,0,0,57125,5981,38670,6132,2619,69,0.104700219,0.676936543,0.107343545,0.045846827,0.001207877,0.073417943,0.002345733,3000
KAT_TEE_2,4319,0,204,0,2,0,0,133,0,0,0,127,0,0,1619,4354,0,0,11,6,0,0,0,0,10,0,0,11,0,44,0,0,4,1,4,0,0,110,2114,399,194,15,7,25518,2456,9469,36,5252,609,113,0,0,0,0,0,0,0,0,0,0,0,0,57141,6451,38208,5252,2729,110,0.112896169,0.668661732,0.091912987,0.047759052,0.001925063,0.075584957,0.003570116,3000
KAT_HAB_2,8003,2,1105,0,3,0,0,274,0,0,0,178,0,0,2854,8235,0,0,46,13,0,0,2,0,20,0,0,9,0,483,0,0,13,58,8,0,0,386,2594,354,137,28,19,12854,4487,8320,9,5822,1114,84,8,0,2,0,0,0,0,0,0,0,0,0,57524,12598,26887,5822,3132,386,0.219004242,0.467404909,0.10120993,0.05444684,0.006710243,0.139124539,0.019209373,3000
KAT_HAB,11166,3,2424,0,32,0,0,52,0,0,0,401,0,0,1073,4544,0,0,537,80,0,0,1,0,2,0,0,16,0,553,0,0,17,315,3,0,0,68,5046,1834,546,122,186,12070,1860,7359,8,6132,934,55,0,2,0,0,0,0,0,0,0,4,1,1,57447,16130,22472,6132,7734,68,0.280780546,0.391177955,0.106741866,0.13462844,0.0011837,0.194370463,0.042195415,3000
KAT_BAR,2937,15,509,0,1,1,0,52,0,0,10,72,0,0,578,2384,0,0,519,29,0,0,0,0,0,0,0,30,0,0,0,0,0,37,5,0,0,788,2841,869,568,27,73,22702,1236,13812,38,5902,420,149,2,3,0,0,0,0,0,0,0,0,0,0,56609,4800,38430,5902,4378,788,0.084792171,0.678867318,0.10425904,0.077337526,0.013920048,0.05188221,0.008991503,3000
SMI_LAT,10178,2,621,0,9,5,0,97,0,0,2,109,4,3,7801,3050,0,0,37,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,35,0,3,260,3151,1498,1018,338,22,12975,777,1645,32,11425,2565,95,2,0,0,0,0,0,0,0,0,0,0,0,57778,18918,18111,11425,6027,260,0.327425664,0.31345841,0.197739624,0.10431306,0.004499983,0.176157015,0.010748036,3000
SMI_DUR,3040,0,626,0,5,4,4,808,0,0,160,7,0,2,2563,2112,12,0,18,0,0,4,0,0,0,0,0,12,1,95,0,0,9,1,156,0,0,1233,3429,1371,649,90,135,19605,1116,655,220,9269,10464,576,21,0,0,0,0,0,0,0,1,1,2,0,58476,7457,32771,9269,5674,1233,0.127522402,0.560417949,0.158509474,0.097031261,0.021085574,0.05198714,0.010705247,3000
SMI_HOF,4527,1,754,0,2,0,0,181,0,0,22,7,0,0,1359,1720,3,0,12,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,771,2251,589,81,10,191,19860,1455,13229,81,8460,1319,242,8,0,0,0,0,0,0,0,0,1,0,0,57155,6887,36377,8460,3122,771,0.120496894,0.636462252,0.148018546,0.054623393,0.013489633,0.079205669,0.013192197,3000
SMI_JOH,8306,1,2245,0,0,3,2,400,0,0,13,42,0,0,4692,4921,0,0,3,0,0,0,0,0,0,0,0,17,2,8,0,0,0,1,3,0,0,29,2930,1123,399,122,8,16185,780,1031,68,14068,888,21,56,0,0,0,0,0,0,1,0,0,0,0,58368,15787,18981,14068,4582,29,0.270473547,0.325195313,0.241022478,0.078501919,0.000496848,0.142304002,0.038462856,3000
SMI_JOH_2,3105,0,1129,1,8,4,70,1049,0,0,9,155,5,0,3943,1590,0,0,661,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,9,0,0,282,4491,3655,1986,1146,57,19770,1017,665,130,11953,1519,44,4,0,0,0,0,0,0,0,0,2,0,0,58482,10157,23202,11953,11335,282,0.173677371,0.396737458,0.204387675,0.193820321,0.004821997,0.053093259,0.019305085,3000
GAB_ALL,2805,239,43,0,3,0,0,4,0,0,19,0,0,0,1403,1085,0,0,0,0,0,0,0,0,0,0,0,8,45,50,0,0,4,0,0,0,0,4267,4602,4779,4446,1654,88,9159,1400,11741,98,4287,5770,196,2,0,0,0,0,0,0,0,14,6,0,0,58217,4595,28452,4287,15569,4267,0.078928835,0.488723225,0.073638284,0.267430476,0.073294742,0.048181803,0.000738616,3000
KAT_JEF,3931,0,45,0,0,0,0,25,0,0,2,62,0,0,471,8864,4,0,769,0,0,0,0,0,4,0,0,29,0,46,0,2,1,15,7,0,0,61,1672,801,292,35,36,13752,1394,5168,4,11328,7613,525,0,0,0,0,0,0,0,0,0,0,0,0,56958,5367,28492,11328,2836,61,0.094227325,0.500228238,0.198883388,0.049791074,0.001070965,0.069015766,0.000790056,3000
KAT_JEF_2,3589,0,131,0,0,0,2,36,0,0,2,8,0,0,439,8322,0,0,100,0,0,0,0,0,2,0,0,47,0,27,0,0,4,16,6,0,0,63,1876,680,281,47,14,14916,937,4912,10,8384,11499,661,1,0,0,0,0,0,0,0,0,0,0,0,57012,4383,32949,8384,2898,63,0.076878552,0.577930962,0.14705676,0.050831404,0.001105031,0.062951659,0.002297762,3000
STA_WIL,12113,2,1781,0,2,5,0,1492,2,0,16,158,0,0,10935,1310,11,0,114,0,0,0,5,0,7,0,0,6,0,21,0,0,68,11,4,0,0,97,3507,1288,416,96,41,9871,68,734,30,6842,4574,59,414,16,0,0,0,0,0,2258,0,2,6,0,58382,29428,15377,6842,5348,97,0.50405947,0.263385975,0.117193656,0.091603576,0.001661471,0.207478332,0.030505978,3000
STA_HEM_2,13908,5,2477,0,67,7,3,4982,0,0,182,89,1,0,8865,1167,10,0,939,13,0,0,9,0,20,32,1,54,0,11,0,2,88,130,15,0,0,127,2529,1056,500,208,617,7514,20,427,18,5825,4331,131,11,10,0,11,0,95,0,5,6,0,1582,0,58100,33619,13058,5825,4910,127,0.578640275,0.22475043,0.100258176,0.084509466,0.002185886,0.239380379,0.042633391,3000
STA_HEM,15468,0,5081,0,15,0,0,1981,0,0,18,38,0,0,9393,1039,0,0,265,9,0,0,5,0,10,0,0,22,0,8,0,0,97,252,33,0,3,943,2570,804,202,35,41,8393,289,765,14,5646,3440,248,17,0,0,2,0,116,0,245,31,2,658,0,58198,33761,13190,5646,3652,943,0.580105846,0.226640091,0.097013643,0.062751297,0.016203306,0.265782329,0.087305406,3000
STA_SWE,8869,4,1888,0,37,0,0,2616,0,0,101,36,0,4,10000,1220,3,21,482,5,1,21,6,15,473,0,0,25,0,37,0,0,23,7,15,0,0,101,2253,590,164,22,3,19608,110,1405,55,5423,2106,160,9,0,0,0,0,12,5,12,0,5,25,0,57977,24720,23447,5423,3032,101,0.426375977,0.404418994,0.093537092,0.0522966,0.00174207,0.152974455,0.032564638,3000
STA_COL,7237,4,2769,6,1144,0,3,1178,0,0,21,77,1,1,3544,449,0,5,899,63,0,2,11,4,969,0,0,6,2,46,5,8,287,4,70,0,0,452,5435,2757,773,79,37,11596,268,1347,20,9986,6486,104,1,58,0,0,0,79,0,20,1,4,384,0,58702,18867,19858,9986,9081,452,0.321403019,0.338284897,0.170113454,0.154696603,0.007699908,0.123283704,0.047170454,3000
WIS_COO_2,3683,3,1258,0,0,0,0,0,0,0,126,8,0,0,1757,2238,0,0,0,0,0,9,4,0,0,0,0,25,0,1366,0,0,53,0,0,0,0,129,1494,1331,365,89,32,27834,800,1095,61,8806,3545,133,2,0,0,0,0,0,0,0,3,0,0,0,56249,6931,33500,8806,3311,129,0.123219968,0.595566143,0.156553894,0.058863269,0.002293374,0.06547672,0.022364842,3000
WIS_COO,6716,0,1895,0,2,0,0,63,0,0,165,4,0,0,3701,4915,6,0,0,1,0,6,0,0,0,0,0,33,0,782,0,0,90,0,0,0,3,336,1520,1109,265,67,27,19831,223,783,62,11474,2107,117,3,0,0,0,0,0,0,0,2,0,0,0,56308,12690,23150,11474,2988,336,0.225367621,0.411131633,0.203772111,0.053065284,0.005967181,0.119272572,0.033654188,3000
LET_NOB,22028,11,4903,0,1138,0,0,3081,0,0,8,1,0,2,9849,694,0,0,252,1,0,0,0,0,9,0,0,0,0,10,0,0,7,0,4,0,0,34,2038,582,288,47,15,8329,5,332,4,2900,1237,20,169,4,0,0,0,2,0,89,0,0,0,0,58093,41558,9942,2900,2970,34,0.715370182,0.17113938,0.049919956,0.05112492,0.000585268,0.3791851,0.084399153,3000
LET_TAB,12931,117,281,0,9,0,0,86,0,0,3,9,0,0,15247,382,0,2,174,4,0,0,3,0,19,0,0,8,0,11,0,0,7,8,1,0,0,331,3040,673,187,52,32,13619,1158,4664,17,2007,1317,215,546,0,0,0,0,5,0,520,0,0,0,0,57685,29980,21022,2007,3984,331,0.519719164,0.364427494,0.034792407,0.069064748,0.00573806,0.224165728,0.004871284,3000
WIS_HIG,61,0,13,0,0,0,0,0,0,0,4,0,0,0,59,209,0,0,0,0,0,16,0,0,0,0,0,0,2,971,0,12,323,0,5,0,0,6984,2724,2548,2251,770,116,30055,365,1280,40,2608,4192,470,0,0,0,0,0,0,0,0,1,0,0,0,56079,496,36518,2608,8409,6984,0.008844666,0.651188502,0.046505822,0.149949179,0.124538597,0.001087751,0.000231816,3000
WIS_MEG,1861,15,396,0,155,86,0,33,0,0,445,59,28,0,538,2349,1,0,0,0,0,2,9,0,42,4,0,2,22,613,0,0,113,0,0,0,3,289,3724,5481,3184,641,70,21287,315,868,55,10700,3052,68,0,0,0,0,0,0,0,0,19,2,0,0,56531,3835,25715,10700,13100,289,0.067838885,0.454883161,0.18927668,0.231731262,0.005112239,0.032919991,0.007005006,3000
WIS_KEN,158,0,31,0,10,0,0,3,0,0,9,8,0,0,123,310,0,0,0,0,0,80,2,0,0,0,0,2,1,1155,0,22,1316,2,0,2,0,9079,4592,4807,4149,3044,87,13814,66,319,54,10364,1644,679,0,0,0,0,3,0,0,0,0,0,0,0,55935,1772,16663,10364,16679,9079,0.031679628,0.297899347,0.185286493,0.298185394,0.162313399,0.002824707,0.000554215,3000
ZUE_REE,7437,0,5874,0,31,0,0,2807,0,0,17,78,0,267,4031,622,1,0,315,4,0,4,3,0,0,0,0,32,2,12,2,3,588,230,6,0,0,21217,1312,1120,230,12,14,5943,111,659,40,3601,737,90,16,1,0,0,0,0,2,0,0,2,475,0,57948,22228,7594,3601,2688,21217,0.383585283,0.131048526,0.06214192,0.046386415,0.366138607,0.128339201,0.101366743,3000
DEG_PER_STRIP,7603,2,765,0,9,0,3,317,0,0,8,95,0,0,5815,4324,4,0,30,2,0,0,0,0,0,0,0,71,0,11,0,0,0,2,2,0,4,47,2096,783,142,9,33,24087,437,1680,60,8571,652,59,1,0,0,0,0,0,0,0,11,3,6,0,57744,14753,27008,8571,3063,47,0.255489748,0.46771959,0.148431006,0.053044472,0.000813937,0.131667359,0.01324813,3000
DEG_FOU_WOOD,11766,1,309,0,3,5,3,176,0,0,77,10,0,6,7493,6547,0,0,12,0,0,0,0,0,0,0,0,48,0,13,0,0,3,0,16,0,1,42,2331,1483,265,22,14,13376,460,1341,52,10259,1327,67,38,0,0,0,0,0,0,0,2,3,0,0,57571,19972,16637,10259,4115,42,0.346910771,0.2889823,0.178197356,0.071476959,0.000729534,0.20437373,0.005367286,3000
DEG_DIE_HILL,4304,11,591,0,44,2,1,27,0,0,6,2,0,4,1981,2956,20,0,12,1,0,6,4,0,0,0,0,56,0,47,0,0,6,3,3,0,0,1281,3252,5569,5560,1951,508,16030,500,1492,118,9735,1335,181,8,1,0,0,0,0,0,9,0,0,0,0,57617,7102,20164,9735,16840,1281,0.123262232,0.349966156,0.16896055,0.292274849,0.022233022,0.074700175,0.010257389,3000
DEG_DIE_SWC,7845,3,284,4,4,9,0,115,0,0,9,14,2,0,3013,5066,0,0,5,0,0,0,0,0,2,0,0,21,0,30,0,0,3,5,8,0,0,84,2543,967,396,81,44,24358,672,1620,97,9039,1248,71,11,0,0,0,0,0,0,0,0,3,0,0,57676,11360,28110,9039,4031,84,0.196962341,0.487377765,0.1567203,0.069890422,0.001456412,0.136018448,0.004924059,3000
DEG_YOU_BOCES,6504,5,255,0,28,5,0,26,0,0,5,15,2,3,3296,2071,1,0,3,0,0,2,0,0,0,0,0,38,0,26,0,0,7,5,9,0,0,159,5218,7536,6537,2083,89,12627,417,1088,74,8385,995,115,10,1,0,0,0,0,0,0,0,4,0,0,57644,10224,15405,8385,21463,159,0.177364513,0.267243772,0.1454618,0.372337104,0.00275831,0.112830477,0.004423704,3000
DEG_YOU_OSHEA,9438,17,277,0,2,2,2,21,0,0,8,171,2,0,4756,2831,0,0,2,0,0,2,0,0,0,0,0,16,0,29,0,0,3,0,18,0,0,1153,4790,5200,2370,387,133,13756,435,1132,115,8835,1656,126,4,0,0,0,0,0,0,2,1,3,0,0,57695,14747,17353,8835,12880,1153,0.255602739,0.300771297,0.153132854,0.223242915,0.019984401,0.163584366,0.004801109,3000
DEG_YOU_JONES,6333,17,301,33,10,2,1,191,0,0,3,351,0,0,5449,4076,0,0,17,1,0,6,0,0,1,0,0,23,0,41,0,0,5,0,8,0,0,2208,2345,1781,456,43,123,21673,934,2181,149,7524,1218,140,8,0,0,0,0,0,0,107,0,0,0,0,57759,12867,26418,7524,4748,2208,0.222770477,0.457383265,0.130265413,0.082203639,0.038227809,0.10964525,0.005211309,3000
DEG_VIL,5909,17,290,0,10,2,0,190,0,0,0,245,0,0,5871,3628,1,0,7,1,0,6,0,0,1,0,0,32,0,39,0,0,6,0,6,0,0,2123,2108,1749,438,40,115,22870,639,2215,131,7606,1226,144,7,0,0,0,0,0,0,107,0,0,0,0,57779,12708,27340,7606,4450,2123,0.219941501,0.473182298,0.131639523,0.077017602,0.036743454,0.10226899,0.005019125,3000
SEA_HOO,12406,4,8048,0,20,16,0,6806,0,0,96,149,0,6,9451,2238,19,0,131,13,0,0,0,0,5,4,0,1061,55,6,0,0,20,677,6,0,0,41,2442,766,306,43,10,5575,338,1015,23,5039,665,52,90,6,0,0,0,0,0,8,0,0,0,0,57656,39097,7678,5039,3567,41,0.678108089,0.133169141,0.087397669,0.061866935,0.000711114,0.215172749,0.139586513,3000
MIL_HUM,5640,0,3843,4,0,178,0,1960,0,0,5,14,0,0,2602,1593,0,0,594,0,0,0,0,0,0,0,0,0,2,10,0,0,2,0,0,0,0,9,5990,4726,750,121,2,18507,1254,2102,36,7635,854,15,0,0,0,0,0,0,0,0,0,0,0,0,58448,14844,22770,7635,11589,9,0.25396934,0.38957706,0.130628935,0.198278812,0.000153983,0.096496031,0.065750753,3000
ONE_TER,4290,3,80,0,0,0,0,6,0,0,6,5,0,0,2573,4238,0,0,2,0,0,0,0,0,0,0,0,7,0,37,0,0,0,0,0,0,2,1380,6164,4311,3274,1025,68,11603,1463,252,63,14444,6041,209,0,0,0,0,0,0,0,0,0,0,0,0,61546,6974,19699,14444,14842,1380,0.113313619,0.320069541,0.234686251,0.241152959,0.022422253,0.069703961,0.001299841,3000
ONE_ADO,2004,0,399,0,0,0,2,11,0,0,15,0,0,0,2390,1142,0,0,4,5,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,855,4390,783,432,88,169,27142,7298,1044,246,5761,7314,117,4,0,0,0,0,0,0,7,0,0,0,0,61643,4844,43330,5761,5862,855,0.07858151,0.702918417,0.093457489,0.095095956,0.013870188,0.032509774,0.006472754,3000
ONE_STA,14766,0,40,0,0,0,0,0,0,0,86,4,0,0,3454,2902,3,0,0,4,0,0,0,0,0,0,0,8,0,55,0,0,3,0,0,0,0,23,2175,722,368,166,44,23195,1633,777,95,4401,6953,56,0,0,0,0,0,0,0,0,0,0,0,0,61933,18368,32753,4401,3475,23,0.296578561,0.528845688,0.071060662,0.056109021,0.000371369,0.238418937,0.000645859,3000
